Molecule,a0,a1,a2,a3,a4,S
33_ftca,5.659241230646331,0.2047937995630486,-0.0001766753256552,7.3899374957146e-08,-1.1967973343939338e-11,127.082
41_pentene,5.915016292353533,0.1703453699835309,-0.0001619375159789,7.26064102130737e-08,-1.2379763104742936e-11,110.395
42_fts,8.987956527421773,0.262300050020243,-0.0002404019126724,1.0527683045813465e-07,-1.765682422259479e-11,145.438
42_ftsa,8.219299786424456,0.2695088331275519,-0.0002443501454258,1.0651731606428753e-07,-1.783147255703523e-11,146.033
42_hexene,6.862699442493423,0.199691414286846,-0.0001854346864862,8.179368215361655e-08,-1.3781794896630619e-11,119.976
42ftoh,8.723085964682914,0.2124770968085383,-0.0001841296603829,7.710816615962939e-08,-1.2484460297755031e-11,128.552
42rh,7.315982117888524,0.2024550703743129,-0.0001746044241648,7.301528294262367e-08,-1.1831459505512153e-11,121.66
43_ftca,7.284914894486452,0.2434879834619339,-0.0002152775399374,9.16201329554483e-08,-1.5028340867887324e-11,140.153
51_hexene,7.684641511097611,0.2085578962230276,-0.0001999209470716,8.998678607798267e-08,-1.537309152254767e-11,124.024
52_fts,10.630282816373384,0.3009399731397337,-0.0002789387640839,1.2296340302129064e-07,-2.0710662124638078e-11,158.744
52_ftsa,9.821119700409357,0.3083135081359293,-0.000283113059279,1.243313679084908e-07,-2.0910688558500768e-11,159.276
52_heptene,8.74416186527076,0.2375213444795018,-0.0002229454721359,9.892544162252209e-08,-1.672801621914364e-11,134.235
52ftoh,10.61272633126064,0.2502700294529325,-0.0002215933249023,9.42162576125066e-08,-1.542654889151538e-11,143.165
52rh,9.103303296430154,0.2406088988280466,-0.0002125301177524,9.037354386635277e-08,-1.482193948484524e-11,135.866
53_ftca,8.896583597652922,0.2822807699380129,-0.000254021576925,1.094199947368737e-07,-1.8104086694266173e-11,153.887
61_heptene,9.332306910778792,0.2472480106585936,-0.0002385518764194,1.0773084784817661e-07,-1.843859369115626e-11,137.792
62_fts,12.421547328562395,0.339139911751346,-0.0003169508814028,1.403747306437316e-07,-2.3712040931533317e-11,173.151
62_ftsa,11.63937950129576,0.3464801285184133,-0.0003211056286171,1.4173654418302056e-07,-2.391120399143116e-11,173.914
62_octene,10.416240230837488,0.2760398647283327,-0.000261317020771,1.1652063016455933e-07,-1.976410161022256e-11,147.991
62ftab,7.121442421315708,0.5284971310944042,-0.0004210595029842,1.6560200649540614e-07,-2.5582138578262382e-11,224.933
62ftoh,12.145977560420336,0.2893016220941332,-0.000260629066756,1.1217108484224176e-07,-1.8532069244834235e-11,156.237
62rh,10.821426290184837,0.2789970673044673,-0.0002507493212453,1.0788808045072049e-07,-1.7842329318571704e-11,149.636
71_octene,11.22134874552608,0.2850525117158869,-0.0002760403449499,1.24856761559818e-07,-2.138485337111473e-11,152.357
butane1H,7.383311999909038,0.1576008534660111,-0.0001490844071192,6.602748922191552e-08,-1.1113370706949627e-11,108.467
butene,8.245007803052955,0.1365296231778796,-0.0001334508168129,6.04940268543253e-08,-1.0363669745761854e-11,104.397
butene_2OH,8.378730550292337,0.1619795015727467,-0.0001597938655211,7.321542723631614e-08,-1.2649749428720527e-11,112.352
butene_OH,8.959402291714554,0.1609161239230707,-0.0001589482887988,7.28881703966294e-08,-1.259953384074122e-11,115.924
butylallyl,9.49906231274021,0.1198428199987873,-0.0001169911210188,5.2971530536553446e-08,-9.066852527136088e-12,106.349
c2f4,5.723836532714533,0.0581708732103092,-5.624121184826181e-05,2.547162119136198e-08,-4.3786424222901816e-12,74.103
c2f4h2o_prod,4.0756331190478745,0.0887524266718833,-7.970445919605105e-05,3.4403272389962734e-08,-5.703065404091736e-12,80.946
c2f4o,5.197189387774944,0.0731912692169911,-7.051647566343251e-05,3.1673686247343926e-08,-5.3930169057382846e-12,79.898
c2f5,5.126862074618703,0.0761699409901251,-7.472982954374523e-05,3.383642334077118e-08,-5.778689249212235e-12,81.39
c2f5h,4.129611776173398,0.0802348105457056,-7.186493208948959e-05,3.054852988457892e-08,-4.980268346379767e-12,79.7
c2f6,4.476892359363664,0.0926861007736898,-9.188297424113018e-05,4.19637804326324e-08,-7.2171462998913575e-12,79.456
c2h6,3.391294680206248,0.0298038732713638,3.7595254511510974e-06,-1.0446543765710706e-08,2.747691873807944e-12,54.42
c3f6,7.1379148763408,0.1005081152684225,-9.953339131873784e-05,4.539164934742912e-08,-7.795170059102818e-12,91.805
c3f7oh,6.873570828887734,0.1370770148151572,-0.0001347643591965,6.163355423021685e-08,-1.06348463484973e-11,101.529
c4f9oh,8.324528921666516,0.176338814508862,-0.0001740599203484,7.971935802449536e-08,-1.3764540015011507e-11,113.675
c5_prim_sec_rad_isots,12.771154589174229,0.1790306576113815,-0.0001769148764045,8.085343000128815e-08,-1.3937364081114904e-11,125.816
c5_rad,10.360813811759852,0.1914316901220216,-0.0001897908472676,8.66966756441822e-08,-1.4914406271414128e-11,124.796
c5f11oh,10.013573745801825,0.2148564938398554,-0.0002124538851029,9.73300109759662e-08,-1.6803629344198435e-11,127.614
c6f13oh,11.677576309714162,0.2533996238315108,-0.0002508541275867,1.1493868119786915e-07,-1.9841864840751767e-11,141.328
c7_secondary_rad,14.118590391465547,0.2672602520452729,-0.0002651025492411,1.2113362707065168e-07,-2.084172007291243e-11,157.129
cbutane_diradical,9.975742362097405,0.134123481379306,-0.0001313504308035,5.9394287620090246e-08,-1.0133762628457944e-11,107.897
cf2,5.392278831869168,0.0171116145856154,-1.4173362657306102e-05,5.383422228986337e-09,-7.711961826348944e-13,58.933
cf2coho,6.657932399281847,0.0609254644007386,-5.53144596183828e-05,2.4183561839412647e-08,-4.061286326207347e-12,78.453
cf2h,4.406748583768516,0.0238463553999011,-1.6161335259533392e-05,5.099387751986307e-09,-5.941075945962111e-13,61.225
cfo,6.205111043482166,0.0127270307234274,-9.076542683054318e-06,3.0594421377398154e-09,-3.961361082247449e-13,59.492
