Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K)
co2.log,CO2,C(=O)=O,4.7791,0.016904,-0.0000132,0.00000000517,-8.06E-13,0,52.42
co2h.log,COOH,[C](=O)O,5.1135,0.022545,-0.000017,0.00000000653,-9.96E-13,-45.14,60.148
cooh2.log,COOH2,C(=O)(O)O,1.5339,0.053254,-0.0000467,0.0000000202,-3.39E-12,-145.57,64.209
e1.log,E1,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@H](C(F)(F)F)F,8.5402,0.21078,-0.00020132,0.0000000897,-1.51E-11,0,130.72
e1_minusH.log,E1_minusH,C(F)(F)(F)C(F)(F)C(F)(F)O[C](C(F)(F)F)F,9.656,0.20642,-0.00020377,0.0000000927,-1.59E-11,0,134.41
f.log,F,[F],4.9682,0,0,0,0,18.47,36.176
h2o.log,H2O,O,7.7961,-0.0003717,0.0000039,-0.00000000199,3.16E-13,-57.1,46.425211
hf.log,HF,F,7.0265,-0.00037026,0.000000286,3.51E-10,-1.43E-13,-65.18,41.525
frd_903.log,HFPO-DA,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,10.06,0.25241,-0.00024666,0.000000112,-1.92E-11,0,143.52
frd_903_carbF.log,HFPO-DAF,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)F)(C(F)(F)F)F,11.577,0.2409,-0.00023634,0.000000107,-1.84E-11,0,144.76
frd_903_carbF_OH.log,HFPO-DAF_OH,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(F)(F)F)(F)[C@@]([O])(F)O,11.034,0.27026,-0.00026829,0.000000123,-2.13E-11,0,148.82
ester_oh.log,HFPO-DAest_OH,C(F)(F)(F)C(F)(F)C(F)(F)O[C@](C(F)(F)F)([O])O,9.5262,0.23254,-0.00023163,0.000000107,-1.85E-11,0,136.34
ester.log,HFPO-DAester,C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,9.7623,0.20242,-0.00019772,0.0000000894,-1.53E-11,0,131.11
frd_903_0HFAts_prod_minusHF.log,HFPO-DAlac,C(F)(F)(F)C(F)(F)C(F)(F)O[C@]1(C(=O)O1)C(F)(F)F,9.2867,0.23195,-0.00022741,0.000000103,-1.77E-11,0,138.47
lactone.log,LACTONE,C1(F)(C(=O)O1)F,3.2354,0.064148,-0.0000622,0.0000000282,-4.84E-12,-139.22,71.645
o.log,O,[O],4.9682,0,0,0,0,58.997,36.469
o2.log,O2,O=O,6.4985,0.0010753,0.00000207,-0.00000000191,4.44E-13,0,48.998
oh.log,OH,[OH],7.075,-0.00071119,0.00000095,-2.55E-11,-7.49E-14,8.91,42.602
1_butane.log,PFBA,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)F,7.4932,0.15978,-0.00015489,0.0000000702,-1.2E-11,-430.68,110.04
pfbal.log,PFBAL,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)F,8.7828,0.1493,-0.00014605,0.0000000662,-1.13E-11,-427.98,109.8
pfhpal.log,PFHPAL,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(C(F)(F)F)(F)F)(F)F,14.026,0.26416,-0.00026033,0.000000119,-2.04E-11,-723.56,151.43
pfhxal.log,PFHXAL,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(C(F)(F)F)(F)F,12.294,0.22583,-0.00022218,0.000000101,-1.73E-11,-625.09,137.47
1_heptane.log,PFHpA,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F,12.695,0.27476,-0.00026931,0.000000123,-2.11E-11,-726.25,151.7
1_hexane.log,PFHxA,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)F)(F)F,10.971,0.23643,-0.00023117,0.000000105,-1.81E-11,-627.8,137.71
1_octane.log,PFOA,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,14.415,0.31312,-0.00030747,0.00000014,2.41E-11,-824.72,165.64
pfpal.log,PFPAL,C(C(C(=O)F)(F)F)(F)(F)F,6.9898,0.11121,-0.00010823,0.0000000489,-8.36E-12,-329.38,95.557
pfpnal.log,PFPNAL,C(C(C(C(=O)F)(F)F)(F)F)(F)(F)C(F)(F)F,10.555,0.18749,-0.00018403,0.0000000836,-1.43E-11,-526.63,123.47
1_pentane.log,PFPnA,C(F)(F)(C(F)(F)C(F)(F)C(=O)O)C(F)(F)F,9.2229,0.19813,-0.00019306,0.0000000877,-1.5E-11,-529.33,123.69
1_propane.log,PFPrA,C(F)(F)(C(F)(F)C(=O)O)F,5.734,0.12156,-0.00011689,0.0000000528,-9.03E-12,-331.96,96.214
tfa.log,TFA,C(F)(F)(C(=O)O)F,3.9462,0.08361,-0.0000793,0.0000000356,-6.09E-12,-250.52,80.676
tfal.log,TFAL,C(C(=O)F)(F)(F)F,5.1988,0.073197,-0.0000705,0.0000000317,-5.39E-12,-248.11,79.943
tfcof_oh.log,TFCOF_OH,C(F)(F)(F)[C@@]([O])(F)O,4.6524,0.10215,-0.0001018,0.0000000472,-8.23E-12,0,85.745
butylallyl.log,butylallyl,C(=C(F)[C](C(F)(F)F)F)(F)F,9.4988,0.11984,-0.00011699,0.000000053,-9.07E-12,-274.97,106.35
cpropane.log,cC3F6,C1(F)(F)C(F)(F)C1(F)F,6.2633,0.099252,-0.000096,0.000000043,-7.29E-12,-234.7,87.044
cbutane.log,cC4F8,C1(F)(F)C(F)(F)C(F)(F)C1(F)F,6.2333,0.14106,-0.00013679,0.0000000614,-1.04E-11,-370.51,96.448287
cbutane_diradical.log,rC4F8,[C](F)(F)C(C([C](F)F)(F)F)(F)F,9.9754,0.13412,-0.00013135,0.0000000594,-1.01E-11,-296.79,107.9
2_propyl.log,sC3F7,C(F)(F)(F)[C](F)C(F)(F)F,7.8084,0.11084,-0.00010769,0.0000000483,-8.17E-12,-318.55,99.051
c4_secondary_rad.log,sC4F9,C(F)(F)([C](F)C(F)(F)F)C(F)(F)F,8.7357,0.153,-0.00015161,0.0000000692,-1.19E-11,-417.63,113.918165
c4f9H_secondary.log,sC4F9H,F[C@H](C(F)(C(F)(F)F)F)C(F)(F)F,6.6609,0.16006,-0.00015202,0.0000000675,-1.14E-11,-457.83,107.67
c5_secondary_rad.log,sC5F11,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)F,10.623,0.19066,-0.00018888,0.0000000862,-1.48E-11,-515.44,129.45
c6_secondary_rad.log,sC6F13,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)F,12.314,0.22917,-0.00022726,0.000000104,-1.79E-11,-613.03,142.85
c7_secondary_rad.log,sC7F15,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,14.118,0.26726,-0.0002651,0.000000121,-2.08E-11,-710.8,157.13
c8_secondary_rad.log,sC8F17,C(F)(F)(C(F)(F)[C](F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.714,0.30607,-0.00030385,0.000000139,-2.39E-11,-917.28,170.93
