Molecule,IUPAC,sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-H,sp3 Pair Count C-O,sp3 Pair Count F-H,sp3 Pair Count H-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms H,Num. Atoms O,SMILES,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-C-H Torsions,C-C-C-O Torsions,C-C-O-C Torsions,C-C-O-H Torsions,C-C-O-O Torsions,C-O-C-C Torsions,C-O-C-F Torsions,C-O-C-H Torsions,C-O-C-O Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-H Torsions,F-C-C-O Torsions,F-C-O-C Torsions,F-C-O-H Torsions,F-C-O-O Torsions,H-C-C-C Torsions,H-C-C-F Torsions,H-C-C-H Torsions,H-C-C-O Torsions,H-C-O-C Torsions,H-C-O-H Torsions,H-O-C-C Torsions,H-O-C-F Torsions,H-O-C-O Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-H Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-C-O-H Torsions
cf3cfoh,C2HF4O,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,7,2,4.0,1.0,1.0,O[C](F)C(F)(F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
22_butene,C4H3F5,1.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,10,4,5.0,3.0,0.0,C=CC(F)(F)C(F)(F)F,2,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1H_hexane,C6HF13,0.0,0.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,19,6,13.0,1.0,0.0,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22rh,C4H5F5,0.0,0.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,13,4,5.0,5.0,0.0,CCC(F)(F)C(F)(F)F,3,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62_octene,C8H3F13,1.0,0.0,1.0,6.0,13.0,3.0,0.0,0.0,0.0,0.0,22,8,13.0,3.0,0.0,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butylallyl,C4F7,1.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,9,4,7.0,0.0,0.0,F[C](C(F)=C(F)F)C(F)(F)F,2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2f3_o,C2F3O,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,4,2,3.0,0.0,1.0,O=C(F)[C](F)F,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2f4_oh,C2HF4O,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,7,2,4.0,1.0,1.0,OC(F)(F)[C](F)F,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heptane,C7F16,0.0,0.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,22,7,16.0,0.0,0.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2_heptene,C7F14,1.0,0.0,1.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,19,7,14.0,0.0,0.0,F/C(=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,5,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
