Molecule,SMILES,C,F,sp3 Total Bond Count,Pair Count sp3 C-F,Pair Count sp3 C-C,sp2 Total Bond Count,Pair Count sp2 C-C,C-C-C-C,C-C-C-F,F-C-C-C,F-C-C-F,Number of Rot. Bonds,O,H,Pair Count sp3 H-O,Pair Count sp3 C-O,H-O-C-F,H-O-C-C,O-C-C-C,O-C-C-F,F-C-C-O,C-C-C-O,C-C-O-H,F-C-O-H,Pair Count sp2 C-O,Pair Count sp3 C-H,F-C-C-H,O-C-C-H,Pair Count sp3 O-O,C-C-O-O,F-C-O-O,C-C-C-H,H-C-O-H,O-C-O-H,H-O-C-O,C-C-O-C,F-C-O-C,C-O-C-H,C-O-C-F,C-O-C-C,H-C-C-F,O-C-C-O,C-O-C-O,O-C-O-C,H-C-C-C,H-C-C-O,H-C-C-H
62_octene,C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,22,160,51,1,1,5,11,10,22,6,,3,,,,,,,,,,,,42,2,,,,,1,,,,,,,,,,,,,,,
62ftoh,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,26,168,66,,,5,11,10,22,8,1,5,26,23,,,,,,1,1,,,68,4,,,,,4,2,,,,,,,,,,,,,2,4
62rh,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,13,25,171,55,,,5,8,13,22,7,,5,,,,,,,,,,,,99,4,,,,,5,,,,,,,,,,,,,,,6
71_octene,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,14,22,165,51,1,1,5,12,10,24,6,,2,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,
pfbcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)F,4,8,11,52,14,1,,1,3,5,12,3,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
pfboh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4,9,14,66,14,,,1,4,5,14,4,1,1,12,13,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfeoh,OC(F)(F)C(F)(F)F,2,5,8,22,3,,,,,,6,2,1,1,7,4,,,,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfhpa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,13,21,151,57,1,,4,11,8,22,7,2,1,12,11,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,
pfhpoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,15,23,180,51,,,4,13,8,26,7,1,1,23,22,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfhxa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,11,18,108,43,1,,3,9,6,18,6,2,1,11,9,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,
pfhxcof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,12,17,117,36,1,,3,10,6,20,5,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
pfhxoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6,13,20,136,35,,,3,11,6,22,6,1,1,20,19,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfoa,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,15,24,203,74,1,,5,13,10,26,8,2,1,12,11,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,
pfocof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7,14,20,160,50,1,,4,12,8,24,6,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
pfooh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8,17,26,232,68,,,5,15,10,30,8,1,1,26,25,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfpeoh,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,11,17,96,24,,,2,9,4,18,5,1,1,17,16,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
pfpncof,O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5,10,14,83,22,1,,2,8,4,16,4,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
pfpra,O=C(O)C(F)(F)C(F)(F)F,3,5,9,18,10,1,,,,3,6,3,2,1,9,8,,,,,4,2,1,,1,,,,,,,,,1,,,,,,,,,,,,,
pfprcof,O=C(F)C(F)(F)C(F)(F)F,3,6,8,28,8,1,,,1,3,8,2,1,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,
pfproh,OC(F)(F)C(F)(F)C(F)(F)F,3,7,11,36,9,,,,2,3,10,3,1,1,11,10,,,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
