Log Files (Rel. Path),Log Files,Molecule,SMILES,a0,a1,a2,a3,a4,H_f_0K,S(300K),sp2 Pair Count C-C,sp2 Pair Count C-O,sp2 Pair Count O-O,sp2 Total Count,sp3 Pair Count C-C,sp3 Pair Count C-F,sp3 Pair Count C-O,sp3 Pair Count O-O,sp3 Total Count,Num. Atoms C,Num. Atoms F,Num. Atoms O,Torsions Number of Rot. Bonds,C-C-C-C Torsions,C-C-C-F Torsions,C-C-O-C Torsions,C-O-C-C Torsions,C-O-C-F Torsions,F-C-C-C Torsions,F-C-C-F Torsions,F-C-C-O Torsions,F-C-O-C Torsions,O-C-C-C Torsions,O-C-C-F Torsions,O-C-C-O Torsions,O-C-O-C Torsions,O-O-C-C Torsions,O-O-C-F Torsions
qchem_data/log/c4f7_o.log,c4f7_o.log,C4F7O,[C](F)(C(=O)F)C(C(F)(F)F)(F)F,8.9241,0.13439,-0.00013079,5.91e-08,-1.01e-11,-300.33,106.98,0.0,1.0,0.0,1.0,3.0,7.0,0.0,0.0,10.0,4.0,7.0,1.0,3,1.0,5.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
qchem_data/log/c4_rad.log,c4_rad.log,C4F9,C(F)(F)([C](F)F)C(C(F)(F)F)(F)F,8.816,0.15248,-0.00015088,6.88e-08,-1.18e-11,-409.98,114.89,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,4.0,9.0,0.0,3,1.0,5.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/butane1H.log,butane1H.log,C4F9H,C(F)(F)(F)C(F)(F)C(F)(F)C(F)F,7.3881,0.1577,-0.00014927,6.61e-08,-1.11e-11,-458.61,108.51,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,4.0,9.0,0.0,3,1.0,5.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c4f9oh.log,c4f9oh.log,C4F9OH,C(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)O,8.3241,0.17634,-0.00017406,7.97e-08,-1.38e-11,-510.19,113.68,0.0,0.0,0.0,0.0,3.0,9.0,1.0,0.0,13.0,4.0,9.0,1.0,3,1.0,5.0,0.0,0.0,0.0,4.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/c5_rad.log,c5_rad.log,C5F11,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)F)(F)F,12.509,0.1821,-0.00017635,7.89e-08,-1.33e-11,-507.44,124.440708,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,15.0,5.0,11.0,0.0,4,2.0,7.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/pentane1H.log,pentane1H.log,C5F11H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(F)(F)F,9.373,0.19517,-0.00018633,8.3e-08,-1.4e-11,-556.45,123.18,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,15.0,5.0,11.0,0.0,4,2.0,7.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c5f11oh.log,c5f11oh.log,C5F11OH,C(F)(F)(C(F)(F)C(F)(F)O)C(C(F)(F)F)(F)F,10.013,0.21486,-0.00021245,9.73e-08,-1.68e-11,-608.21,127.61,0.0,0.0,0.0,0.0,4.0,11.0,1.0,0.0,16.0,5.0,11.0,1.0,4,2.0,7.0,0.0,0.0,0.0,6.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
qchem_data/log/pentane.log,pentane.log,C5F12,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.7925,0.20703,-0.00020533,9.38e-08,-1.61e-11,-615.05,126.598051,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,16.0,5.0,12.0,0.0,4,2.0,7.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/c6_rad.log,c6_rad.log,C6F13,C(F)(F)(C(F)(F)[C](F)F)C(C(F)(F)C(F)(F)F)(F)F,14.833,0.21805,-0.00021118,9.44e-08,-1.59e-11,-605.04,138.77868,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,18.0,6.0,13.0,0.0,5,3.0,9.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qchem_data/log/hexane1H.log,hexane1H.log,C6F13H,C(F)(F)(C(F)(F)C(F)(F)C(F)F)C(C(F)(F)F)(F)F,10.96,0.23396,-0.00022504,1.01e-07,-1.71e-11,-654.01,136.85,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,18.0,6.0,13.0,0.0,5,3.0,9.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
