Log Files (Rel. Path),Log Files_x,SMILES,Log Names,Abbreviation,Log Files_y,a0,a1,a2,a3,a4,H_f_0K,S(300K)
qchem_data/log/62_fts.log,62_fts.log,C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(C(F)(F)C(F)(F)F)(F)F)(F)F,62_fts,,,,,,,,,
qchem_data/log/52_fts.log,52_fts.log,C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(C(F)(F)F)(F)F)(F)F,52_fts,,,,,,,,,
qchem_data/log/42_fts.log,42_fts.log,C(F)(F)(CCS([O])([O])O)C(C(F)(F)C(F)(F)F)(F)F,42_fts,,,,,,,,,
qchem_data/log/32_fts.log,32_fts.log,C(F)(F)(CCS([O])([O])O)C(C(F)(F)F)(F)F,32_fts,,,,,,,,,
qchem_data/log/c2f5cof.log,c2f5cof.log,C(F)(F)(F)C(F)(F)C(=O)F,c2f5cof,,,,,,,,,
qchem_data/log/pfba.log,pfba.log,C(F)(F)(F)C(F)(F)C(F)(F)C(=O)O,pfba,,,,,,,,,
,,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(C(C(F)(F)F)(F)F)(F)F,,C7F16,heptane.log,13.078,0.28431,-0.000282,0.0,-0.0,-811.67,153.808976
,,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,C5F12,pentane.log,9.7925,0.20703,-0.000205,0.0,-0.0,-615.05,126.598051
qchem_data/log/1H_pentane.log,1H_pentane.log,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,1H_pentane,,,,,,,,,
,,C(F)(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,C4F10,butane.log,8.0151,0.16889,-0.000167,0.0,-0.0,-516.57,112.543919
,,C(F)(F)(F)C(F)(F)C(F)(F)C(F)F,,C4F9H,butane1H.log,7.3881,0.1577,-0.000149,0.0,-0.0,-458.61,108.51
,,C(F)(F)(F)C(F)(F)C(F)(F)F,,C3F8,c3f8.log,1.9759,0.054518,-1e-05,-0.0,0.0,-418.32,64.110605
qchem_data/log/pfproh.log,pfproh.log,C(F)(F)(F)C(F)(F)C(F)(F)O,pfproh,,,,,,,,,
qchem_data/log/ester.log,ester.log,C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,ester,HFPO-DAester,ester.log,9.7623,0.20242,-0.000198,0.0,-0.0,0.0,131.11
qchem_data/log/frd_903_0HFAts_prod_COlossprod.log,frd_903_0HFAts_prod_COlossprod.log,C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)C(F)(F)F,frd_903_0HFAts_prod_COlossprod,HFPO-DAester,ester.log,9.7623,0.20242,-0.000198,0.0,-0.0,0.0,131.11
qchem_data/log/c3_oco2h.log,c3_oco2h.log,C(F)(F)(F)C(F)(F)C(F)(F)OC(=O)O,c3_oco2h,,,,,,,,,
,,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@H](C(F)(F)F)F,,E1,e1.log,8.5402,0.21078,-0.000201,0.0,-0.0,0.0,130.72
qchem_data/log/frd_903_cof.log,frd_903_cof.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)F)(C(F)(F)F)F,frd_903_cof,HFPO-DAF,frd_903_carbF.log,11.577,0.2409,-0.000236,0.0,-0.0,0.0,144.76
qchem_data/log/hfpo_da.log,hfpo_da.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,hfpo_da,HFPO-DA,frd_903.log,10.06,0.25241,-0.000247,0.0,-0.0,0.0,143.52
qchem_data/log/frd_903.log,frd_903.log,C(F)(F)(F)C(F)(F)C(F)(F)O[C@@](C(=O)O)(C(F)(F)F)F,frd_903,HFPO-DA,frd_903.log,10.06,0.25241,-0.000247,0.0,-0.0,0.0,143.52
