Abbreviation,Log Name_x,Veri. SMILES,a0,a1,a2,a3,a4,H_f_0K,S_300K ,SMILES,Molecule,Log Name_y,Log Path,Unnamed: 0,Log Mol. Objects
,,[O]C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(F)(F)F)(C(F)(F)[O])F,C3F7O,c3f7o,/qchem_data/log_to_pdb_in/c3f7o.log,129,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6a40>
,,FC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)F.[F],,,,,,,,FC(=C(C(C(C(F)(F)F)(F)F)(F)F)F)F.[F],C5F11,c5_prim_sec_rad_isots,/qchem_data/log_to_pdb_in/c5_prim_sec_rad_isots.log,135,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6c00>
,,F[C](F)C(F)=C(F)F,,,,,,,,F[C](C(=C(F)F)F)F,C3F5,allyl,/qchem_data/log_to_pdb_in/allyl.log,139,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6ea0>
,,[O]C(O)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(F)(F)F)(C(F)(O)[O])F,C3HF6O2,c3f6oOH2nd,/qchem_data/log_to_pdb_in/c3f6oOH2nd.log,140,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6f10>
,,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(F)(F)F)(F)F)(CCS(O)([O])[O])F,C5H5F7O3S,32_fts,/qchem_data/log_to_pdb_in/32_fts.log,143,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7060>
,,NS(=O)(=O)CCC(F)(F)C(F)(F)F,,,,,,,,FC(C(F)(F)F)(CCS(=O)(=O)N)F,C4H6F5NO2S,22_ftsa,/qchem_data/log_to_pdb_in/22_ftsa.log,144,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac70d0>
,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C8H5F13,62rh,/qchem_data/log_to_pdb_in/62rh.log,145,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7140>
,,CC,,,,,,,,CC,C2H6,c2h6,/qchem_data/log_to_pdb_in/c2h6.log,149,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac6e30>
,,F[C](C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,F[C](C(C(C(F)(F)F)(F)F)(F)F)C(C(F)(F)F)(F)F,C6F13,3_pentyl,/qchem_data/log_to_pdb_in/3_pentyl.log,151,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7370>
,,C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(=C)C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H2F12,61_heptene,/qchem_data/log_to_pdb_in/61_heptene.log,153,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac74c0>
,,F/C(=C(/F)C(F)(F)F)C(F)(F)F.[F],,,,,,,,F/C(=C(\C(F)(F)F)/F)/C(F)(F)F.[F],C4F9,c4_sec_sec_rad_isots,/qchem_data/log_to_pdb_in/c4_sec_sec_rad_isots.log,155,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac75a0>
,,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(O)([O])[O])F,C4HF9O3S,pfbs,/qchem_data/log_to_pdb_in/pfbs.log,156,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac73e0>
,,O[C@](F)([C](F)F)C(F)(F)F,,,,,,,,F[C]([C@@](C(F)(F)F)(F)O)F,C3HF6O,hfp_2oh,/qchem_data/log_to_pdb_in/hfp_2oh.log,157,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7610>
,,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,,,,CCC(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,C7H5F11,52rh,/qchem_data/log_to_pdb_in/52rh.log,158,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7680>
,,F[C](F)C(F)(F)[C](F)F,,,,,,,,F[C](C([C](F)F)(F)F)F,C3F6,cpropane_intts_prod,/qchem_data/log_to_pdb_in/cpropane_intts_prod.log,160,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac77d0>
,,C=C(F)C(F)(F)F,,,,,,,,FC(=C)C(F)(F)F,C3H2F4,21_propene,/qchem_data/log_to_pdb_in/21_propene.log,161,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac76f0>
,,CCC(F)(F)C(F)(F)C(F)(F)F,,,,,,,,CCC(C(C(F)(F)F)(F)F)(F)F,C5H5F7,32rh,/qchem_data/log_to_pdb_in/32rh.log,166,<rdkit.Chem.rdchem.Mol object at 0x7fe2d7ac7a70>
