Molecule,a0,a1,a2,a3,a4,H_f_0K,S_300K 
cfho,4.9136,0.018727,-8.94e-06,1.26e-09,1.18e-13,-199.45,58.965
cfoh_cis,3.9553,0.027276,-2.21e-05,8.77e-09,-1.35e-12,-159.77,59.289
cfo2h,2.562,0.043465,-3.85e-05,1.66e-08,-2.75e-12,-147.28,63.717
cfo2,3.743,0.036252,-3.44e-05,1.52e-08,-2.53e-12,-80.0,64.74
cf2coho,6.6578,0.060926,-5.53e-05,2.42e-08,-4.06e-12,-269.0,78.453
co2h,5.1135,0.022545,-1.7e-05,6.53e-09,-9.96e-13,-45.14,60.148
co,7.1988,-0.0022294,5.64e-06,-3.46e-09,6.85e-13,-27.2,47.228
cf3co,5.8249,0.059384,-5.84e-05,2.68e-08,-4.64e-12,-147.16,77.255
chfo2,2.7681,0.043835,-3.97e-05,1.74e-08,-2.95e-12,0.0,63.927
cf2o_oh,2.885,0.063918,-6.36e-05,2.96e-08,-5.18e-12,0.0,70.725
tfcof_oh,4.6524,0.10215,-0.0001018,4.72e-08,-8.23e-12,0.0,85.745
frd_903,10.06,0.25241,-0.00024666,1.12e-07,-1.92e-11,0.0,143.52
frd_903_carbF,11.577,0.2409,-0.00023634,1.07e-07,-1.84e-11,0.0,144.76
frd_903_0HFAts_prod_minusHF,9.2867,0.23195,-0.00022741,1.03e-07,-1.77e-11,0.0,138.47
ester,9.7623,0.20242,-0.00019772,8.94e-08,-1.53e-11,0.0,131.11
ester_oh,9.5262,0.23254,-0.00023163,1.07e-07,-1.85e-11,0.0,136.34
frd_903_carbF_OH,11.034,0.27026,-0.00026829,1.23e-07,-2.13e-11,0.0,148.82
e1,8.5402,0.21078,-0.00020132,8.97e-08,-1.51e-11,0.0,130.72
e1_minusH,9.656,0.20642,-0.00020377,9.27e-08,-1.59e-11,0.0,134.41
1H_butane,7.3837,0.15771,-0.00014929,6.615e-08,-1.1138e-11,0.0,108.5
1H_decane,17.974,0.38707,-0.00037737,1.7058e-07,-2.9135e-11,0.0,193.25
1H_dodecane,21.372,0.46396,-0.00045395,2.0568e-07,-3.519e-11,0.0,220.31
1H_ethane,4.1218,0.080399,-7.2144e-05,3.0713e-08,-5.0126e-12,0.0,79.742
1H_hexane,10.97,0.23395,-0.00022503,1.008e-07,-1.7106e-11,0.0,136.86
1H_pentane,9.3716,0.19518,-0.00018634,8.3041e-08,-1.4038e-11,0.0,123.17
1H_propane,5.93,0.11846,-0.00010999,4.806e-08,-8.0068e-12,0.0,95.578
1H_undecane,19.677,0.42541,-0.00041548,1.8802e-07,-3.214e-11,0.0,206.63
21_propene,2.3416,0.09432,-8.6552e-05,3.8156e-08,-6.4503e-12,0.0,80.045
22_fts,5.8068,0.1848,-0.00016314,6.9834e-08,-1.154e-11,0.0,116.65
22_ftsa,4.8978,0.19245,-0.00016763,7.1358e-08,-1.1768e-11,0.0,117.55
22ftoh,5.3206,0.13602,-0.00010839,4.2523e-08,-6.5343e-12,0.0,100.02
22rh,3.92,0.12557,-9.8047e-05,3.7932e-08,-5.782e-12,0.0,92.759
23_ftca,3.8371,0.16677,-0.00013893,5.6652e-08,-9.0007e-12,0.0,110.95
31_butene,4.1921,0.13202,-0.00012382,5.5152e-08,-9.3714e-12,0.0,95.365
32_fts,7.3234,0.22377,-0.00020204,8.7692e-08,-1.4624e-11,0.0,132.06
32_ftsa,6.5237,0.23119,-0.0002063,8.9114e-08,-1.4835e-11,0.0,132.86
32_pentene,5.0985,0.1614,-0.00014732,6.4332e-08,-1.0771e-11,0.0,105.83
32ftoh,7.1538,0.17364,-0.00014538,5.9317e-08,-9.4119e-12,0.0,118.37
32rh,5.7499,0.1636,-0.00013583,5.521e-08,-8.7559e-12,0.0,108.8
33_ftca,5.6588,0.20479,-0.00017668,7.3899e-08,-1.1968e-11,0.0,127.08
42_fts,8.9874,0.2623,-0.0002404,1.0528e-07,-1.7657e-11,0.0,145.44
42_ftsa,8.2187,0.26951,-0.00024435,1.0652e-07,-1.7831e-11,0.0,146.03
42ftoh,8.7226,0.21248,-0.00018413,7.7108e-08,-1.2484e-11,0.0,128.55
42rh,7.3155,0.20246,-0.0001746,7.3015e-08,-1.1831e-11,0.0,121.66
43_ftca,7.2844,0.24349,-0.00021528,9.162e-08,-1.5028e-11,0.0,140.15
51_hexene,7.6842,0.20856,-0.00019992,8.9987e-08,-1.5373e-11,0.0,124.02
52_heptene,8.7437,0.23752,-0.00022295,9.8925e-08,-1.6728e-11,0.0,134.24
52rh,9.1028,0.24061,-0.00021253,9.0373e-08,-1.4822e-11,0.0,135.87
